NCBI GeneID	Symbol	Transcript Accession	Transcript Transcript Length	Transcript Protein Accession	Transcript Protein Length	Transcript Protein Name
5460	POU5F1	NM_001173531.3	1579	NP_001167002.1	190	POU domain, class 5, transcription factor 1
5460	POU5F1	NM_001285986.2	2290	NP_001272915.1	164	POU domain, class 5, transcription factor 1
5460	POU5F1	NM_001285987.1	2075	NP_001272916.1	265	POU domain, class 5, transcription factor 1
5460	POU5F1	NM_002701.6	1409	NP_002692.2	360	POU domain, class 5, transcription factor 1
5460	POU5F1	NM_203289.6	2065	NP_976034.4	190	POU domain, class 5, transcription factor 1
